City,Property_Type,BHK,Size_in_SqFt,Age_of_Property,Furnished_Status,Public_Transport,Nearby_Schools,Nearby_Hospitals,Parking,Security,Price_in_Lakhs,Good_Investment
Pune,Apartment,2,1109,14,Unfurnished,High,3.0,8,Yes,No,75.67,1
Jaipur,Villa,1,439,18,Semi-Furnished,Medium,10.0,8,Yes,Yes,21.04,0
Bangalore,Villa,3,1478,34,Semi-Furnished,High,3.0,0,No,No,117.9,1
Jaipur,Apartment,3,1400,16,Unfurnished,High,4.0,0,Yes,Yes,64.48,0
Jaipur,Apartment,2,1025,34,Semi-Furnished,Low,3.0,4,Yes,No,34.69,1
Delhi,Villa,3,1217,18,Unfurnished,High,8.0,0,No,No,216.28,0
Bangalore,Apartment,2,726,19,Unfurnished,Medium,6.0,3,Yes,Yes,65.13,0
Bangalore,Apartment,4,1729,35,Unfurnished,Medium,1.0,0,Yes,No,142.47,1
Bangalore,Villa,2,1054,34,Fully-Furnished,Medium,0.0,1,Yes,Yes,99.81,0
Jaipur,Apartment,5,2488,31,Unfurnished,High,8.0,1,Yes,No,94.87,1
Pune,Independent House,2,1180,39,Unfurnished,Low,0.0,3,Yes,No,76.16,1
Bangalore,Apartment,2,946,23,Unfurnished,Low,5.0,7,Yes,Yes,75.42,1
Indore,Independent House,2,1085,16,Unfurnished,High,1.0,1,No,Yes,46.47,0
Jaipur,Apartment,1,685,6,Semi-Furnished,Low,3.0,8,Yes,Yes,27.66,1
Delhi,Apartment,3,1443,0,Unfurnished,Low,5.0,8,Yes,No,183.83,1
Pune,Apartment,2,1082,34,Unfurnished,Low,4.0,1,Yes,No,81.88,1
Indore,Independent House,4,1703,31,Semi-Furnished,Medium,10.0,0,No,Yes,65.09,0
Indore,Apartment,2,1140,35,Unfurnished,Medium,5.0,8,No,No,31.49,1
Delhi,Apartment,4,1804,12,Semi-Furnished,Low,2.0,1,Yes,Yes,321.96,0
Pune,Apartment,3,1553,5,Semi-Furnished,High,4.0,7,Yes,Yes,132.76,0
Jaipur,Apartment,3,1261,13,Unfurnished,High,1.0,2,No,Yes,57.51,0
Mumbai,Apartment,4,1882,36,Semi-Furnished,Medium,6.0,0,No,Yes,400.59,0
Pune,Apartment,3,1631,14,Unfurnished,Medium,2.0,0,Yes,Yes,149.07,0
Delhi,Apartment,5,2428,3,Semi-Furnished,Medium,0.0,1,Yes,Yes,335.79,0
Indore,Apartment,2,1086,39,Unfurnished,Medium,7.0,6,Yes,Yes,35.86,1
Jaipur,Apartment,3,1281,15,Unfurnished,Low,7.0,5,Yes,No,47.52,1
Pune,Apartment,4,1877,27,Semi-Furnished,Low,2.0,1,No,Yes,141.76,1
Mumbai,Villa,1,633,15,Fully-Furnished,High,6.0,3,Yes,Yes,150.4,0
Mumbai,Apartment,4,1777,3,Fully-Furnished,Medium,8.0,1,Yes,Yes,404.0,0
Bangalore,Apartment,3,1426,25,Semi-Furnished,Medium,7.0,0,Yes,Yes,103.45,1
Bangalore,Apartment,2,895,27,Unfurnished,High,2.0,2,Yes,Yes,90.63,0
Delhi,Independent House,1,705,31,Unfurnished,Medium,1.0,3,Yes,Yes,76.48,1
Pune,Independent House,2,981,1,Unfurnished,Medium,9.0,4,Yes,Yes,101.14,0
Pune,Independent House,1,400,30,Semi-Furnished,Medium,6.0,4,Yes,No,27.98,1
